Date;US CPI
31/01/1999;0.017
28/02/1999;0.016
31/03/1999;0.017
30/04/1999;0.023
31/05/1999;0.021
30/06/1999;0.02
31/07/1999;0.021
31/08/1999;0.023
30/09/1999;0.026
31/10/1999;0.026
30/11/1999;0.026
31/12/1999;0.027
31/01/2000;0.027
29/02/2000;0.032
31/03/2000;0.038
30/04/2000;0.031
31/05/2000;0.032
30/06/2000;0.037
31/07/2000;0.037
31/08/2000;0.034
30/09/2000;0.035
31/10/2000;0.034
30/11/2000;0.034
31/12/2000;0.034
31/01/2001;0.037
28/02/2001;0.035
31/03/2001;0.029
30/04/2001;0.033
31/05/2001;0.036
30/06/2001;0.032
31/07/2001;0.027
31/08/2001;0.027
30/09/2001;0.026
31/10/2001;0.021
30/11/2001;0.019
31/12/2001;0.016
31/01/2002;0.011
28/02/2002;0.011
31/03/2002;0.015
30/04/2002;0.016
31/05/2002;0.012
30/06/2002;0.011
31/07/2002;0.015
31/08/2002;0.018
30/09/2002;0.015
31/10/2002;0.02
30/11/2002;0.022
31/12/2002;0.024
31/01/2003;0.026
28/02/2003;0.03
31/03/2003;0.03
30/04/2003;0.022
31/05/2003;0.021
30/06/2003;0.021
31/07/2003;0.021
31/08/2003;0.022
30/09/2003;0.023
31/10/2003;0.02
30/11/2003;0.018
31/12/2003;0.019
31/01/2004;0.019
29/02/2004;0.017
31/03/2004;0.017
30/04/2004;0.023
31/05/2004;0.031
30/06/2004;0.033
31/07/2004;0.03
31/08/2004;0.027
30/09/2004;0.025
31/10/2004;0.032
30/11/2004;0.035
31/12/2004;0.033
31/01/2005;0.03
28/02/2005;0.03
31/03/2005;0.031
30/04/2005;0.035
31/05/2005;0.028
30/06/2005;0.025
31/07/2005;0.032
31/08/2005;0.036
30/09/2005;0.047
31/10/2005;0.043
30/11/2005;0.035
31/12/2005;0.034
31/01/2006;0.04
28/02/2006;0.036
31/03/2006;0.034
30/04/2006;0.035
31/05/2006;0.042
30/06/2006;0.043
31/07/2006;0.041
31/08/2006;0.038
30/09/2006;0.021
31/10/2006;0.013
30/11/2006;0.02
31/12/2006;0.025
31/01/2007;0.021
28/02/2007;0.024
31/03/2007;0.028
30/04/2007;0.026
31/05/2007;0.027
30/06/2007;0.027
31/07/2007;0.024
31/08/2007;0.02
30/09/2007;0.028
31/10/2007;0.035
30/11/2007;0.043
31/12/2007;0.041
31/01/2008;0.043
29/02/2008;0.04
31/03/2008;0.04
30/04/2008;0.039
31/05/2008;0.042
30/06/2008;0.05
31/07/2008;0.056
31/08/2008;0.054
30/09/2008;0.049
31/10/2008;0.037
30/11/2008;0.011
31/12/2008;0.001
